"State","County","Metro/Small Town/Rural Status","Percent with SNAP","Percent Margin of Error (±)"
"Ohio","Athens County","Small town","0.196569323539734","0.0140153681859374"
"Oklahoma","Le Flore County","Metro area","0.196527063846588","0.0112479142844677"
"Tennessee","McMinn County","Small town","0.196442842483521","0.0191522855311632"
"Kentucky","Mason County","Small town","0.19635508954525","0.0312369987368584"
"Missouri","Shannon County","Rural area","0.196158692240715","0.0299558043479919"
"Tennessee","Weakley County","Small town","0.196076974272728","0.0200195424258709"
"Texas","Morris County","Rural area","0.196011960506439","0.0304385181516409"
"Mississippi","Neshoba County","Rural area","0.195880115032196","0.0260595455765724"
"Mississippi","Benton County","Metro area","0.195777356624603","0.0516326874494553"
"Ohio","Mahoning County","Metro area","0.195775717496872","0.00663245469331741"
"Arizona","Yuma County","Metro area","0.195730641484261","0.0105485366657376"
"West Virginia","Wirt County","Metro area","0.195723682641983","0.0468090698122978"
"Ohio","Morgan County","Rural area","0.195718139410019","0.0301121082156897"
"New Mexico","Grant County","Small town","0.195461019873619","0.0273430738598108"
"Tennessee","Chester County","Metro area","0.195300787687302","0.0304893627762794"
"Georgia","Tift County","Small town","0.195211410522461","0.0257885921746492"
"Hawaii","Hawaii County","Small town","0.195191696286201","0.0102771576493979"
"New Jersey","Passaic County","Metro area","0.195153966546059","0.00673885131254792"
"Oregon","Columbia County","Metro area","0.19502666592598","0.0183072071522474"
"Kentucky","Green County","Rural area","0.195008829236031","0.0294305384159088"
"West Virginia","Raleigh County","Metro area","0.194851040840149","0.0164497066289186"
"North Carolina","Cleveland County","Small town","0.194846421480179","0.0125316046178341"
"Georgia","Bacon County","Rural area","0.194781705737114","0.041745338588953"
"Georgia","Muscogee County","Metro area","0.194475084543228","0.0103991534560919"
"Louisiana","Iberia Parish","Metro area","0.194462478160858","0.0151141015812755"
"Alabama","Tallapoosa County","Small town","0.19445464015007","0.0236170440912247"
"Ohio","Guernsey County","Small town","0.194225549697876","0.0160780381411314"
"South Carolina","Calhoun County","Metro area","0.194198623299599","0.02971525862813"
"North Carolina","Wayne County","Metro area","0.193988889455795","0.0129654770717025"
"West Virginia","Fayette County","Metro area","0.193891853094101","0.0174740646034479"
"Illinois","Jackson County","Metro area","0.193889200687408","0.0140252513810992"
"Texas","Lamar County","Small town","0.193688735365868","0.0168563202023506"
"Iowa","Wapello County","Small town","0.19344125688076","0.0184765942394733"
"Missouri","Stoddard County","Rural area","0.193420499563217","0.0173022467643023"
"Arkansas","Randolph County","Rural area","0.193358838558197","0.0257661622017622"
"Iowa","Decatur County","Rural area","0.193303853273392","0.0334074534475803"
"Michigan","Alpena County","Small town","0.193291231989861","0.0158870425075293"
"Mississippi","Forrest County","Metro area","0.193276718258858","0.0175890605896711"
"Washington","Grant County","Small town","0.193264618515968","0.0156786367297173"
"North Carolina","Yancey County","Rural area","0.193207651376724","0.0309954714030027"
"Missouri","Oregon County","Rural area","0.192901596426964","0.0280971694737673"
"Tennessee","Dyer County","Small town","0.192670926451683","0.0254187621176243"
"Texas","Karnes County","Rural area","0.192630603909492","0.0319260060787201"
"Louisiana","St. Mary Parish","Small town","0.192620515823364","0.0150504596531391"
"Kentucky","Grant County","Metro area","0.192506298422813","0.031842727214098"
"Kentucky","Russell County","Rural area","0.192345708608627","0.0236687306314707"
"Arkansas","Lawrence County","Rural area","0.192185372114182","0.0257748030126095"
"Georgia","Long County","Metro area","0.192151561379433","0.0387596003711224"
"Georgia","Lowndes County","Metro area","0.192142486572266","0.0133859757333994"
"South Carolina","Abbeville County","Small town","0.192125484347343","0.0225507710129023"
"Arkansas","Fulton County","Rural area","0.191984727978706","0.0299229994416237"
"Tennessee","Tipton County","Metro area","0.191805198788643","0.0184095725417137"
"Louisiana","De Soto Parish","Metro area","0.191734090447426","0.0238794833421707"
"Texas","Uvalde County","Small town","0.191729322075844","0.0293442532420158"
"Mississippi","Scott County","Rural area","0.19171404838562","0.028606191277504"
"Maine","Kennebec County","Small town","0.191701591014862","0.0120733715593815"
"Kentucky","Owen County","Rural area","0.191586419939995","0.0390430763363838"
"North Carolina","Wilson County","Small town","0.191534653306007","0.0176909361034632"
"Georgia","Chattooga County","Small town","0.191432535648346","0.0283096414059401"
"Missouri","St. Francois County","Small town","0.191364750266075","0.018082594498992"
"Maine","Penobscot County","Metro area","0.191334754228592","0.00905698910355568"
"Oklahoma","Ottawa County","Small town","0.191120013594627","0.0102895926684141"
"Arizona","Gila County","Small town","0.191096782684326","0.0143143516033888"
"Florida","Gilchrist County","Metro area","0.191077709197998","0.0308007728308439"
"Georgia","Twiggs County","Metro area","0.19085556268692","0.0494436137378216"
"Massachusetts","Suffolk County","Metro area","0.190830886363983","0.00451437849551439"
"Tennessee","Obion County","Small town","0.190738260746002","0.0219474695622921"
"Kentucky","Monroe County","Rural area","0.190680846571922","0.0346043072640896"
"Washington","Adams County","Small town","0.19065061211586","0.0293647665530443"
"West Virginia","Nicholas County","Rural area","0.190569192171097","0.0300198309123516"
"Oregon","Grant County","Rural area","0.190415740013123","0.0256036128848791"
"Texas","Wilbarger County","Small town","0.190266340970993","0.0423931926488876"
"Tennessee","White County","Rural area","0.190244913101196","0.024127559736371"
"Missouri","Dallas County","Metro area","0.190243899822235","0.0363011509180069"
"Alabama","Calhoun County","Metro area","0.190233185887337","0.0125197470188141"
"Florida","Columbia County","Small town","0.190163522958755","0.0174832195043564"
"Louisiana","St. Landry Parish","Small town","0.190140157938004","0.0152142532169819"
"Arkansas","Polk County","Rural area","0.190031543374062","0.028921402990818"
"Oregon","Yamhill County","Metro area","0.189932003617287","0.0137861659750342"
"Georgia","Stephens County","Small town","0.18990096449852","0.0376909635961056"
"Oregon","Clatsop County","Small town","0.189846307039261","0.0154405683279037"
"Tennessee","Perry County","Rural area","0.189778745174408","0.03603320941329"
"Virginia","Lunenburg County","Rural area","0.189507499337196","0.027860751375556"
"Oregon","Wallowa County","Rural area","0.189206972718239","0.0357538908720016"
"Texas","Loving County","Rural area","0.189189195632935","0.177127182483673"
"Missouri","Bollinger County","Metro area","0.189177945256233","0.0329784825444221"
"Tennessee","Anderson County","Metro area","0.189138948917389","0.0146336667239666"
"Louisiana","Webster Parish","Metro area","0.189105406403542","0.0231351051479578"
"Tennessee","Marion County","Metro area","0.189054280519485","0.0219429209828377"
"Georgia","Echols County","Metro area","0.189037248492241","0.0448867566883564"
"Arkansas","Drew County","Rural area","0.189032986760139","0.0314410142600536"
"Maryland","Caroline County","Rural area","0.188842624425888","0.0182646419852972"
"Louisiana","Winn Parish","Rural area","0.188786759972572","0.0345709249377251"
"New York","Chautauqua County","Small town","0.188702151179314","0.00871859304606915"
"Louisiana","St. John the Baptist Parish","Metro area","0.188700124621391","0.0247634202241898"
"Kentucky","Hancock County","Metro area","0.188690841197968","0.0351346209645271"
"New Jersey","Cumberland County","Metro area","0.188591822981834","0.0125080207362771"
"Tennessee","Lawrence County","Small town","0.188252821564674","0.0178952794522047"
"Washington","Stevens County","Metro area","0.188223823904991","0.0160082187503576"
"Georgia","Irwin County","Rural area","0.188167124986649","0.04507752135396"
"Virginia","Charlotte County","Rural area","0.188071399927139","0.0378760322928429"
"Missouri","McDonald County","Metro area","0.187967211008072","0.0261444263160229"
"Oklahoma","Okfuskee County","Rural area","0.18792624771595","0.0215048622339964"
"Mississippi","Leake County","Rural area","0.187916219234467","0.0308604259043932"
"New Mexico","Roosevelt County","Small town","0.187904357910156","0.0322460681200027"
"Louisiana","Rapides Parish","Metro area","0.1878971606493","0.0120098404586315"
"Montana","Mineral County","Rural area","0.187886282801628","0.0499391593039036"
"Georgia","Haralson County","Metro area","0.187855958938599","0.0292490087449551"
"Oklahoma","McIntosh County","Rural area","0.187786072492599","0.0257509630173445"
"Mississippi","Lauderdale County","Small town","0.187779992818832","0.014603010378778"
"Maryland","Allegany County","Metro area","0.18755991756916","0.0140924714505672"
"Virginia","Buena Vista city","Rural area","0.187523066997528","0.056174460798502"
"Tennessee","Lincoln County","Rural area","0.187444940209389","0.024872487410903"
"Alabama","Talladega County","Small town","0.18731127679348","0.0144346123561263"
"Colorado","Pueblo County","Metro area","0.187077701091766","0.0103824734687805"
"Kentucky","Taylor County","Small town","0.187070295214653","0.0283726435154676"
"Louisiana","Red River Parish","Rural area","0.18705241382122","0.0373084805905819"
"Kentucky","Adair County","Rural area","0.186921134591103","0.0239356439560652"
"Texas","Lynn County","Metro area","0.186833560466766","0.0301552284508944"
"Louisiana","Grant Parish","Metro area","0.186796590685844","0.0283078365027905"
"Oregon","Polk County","Metro area","0.186771109700203","0.0142148733139038"
"North Carolina","Rockingham County","Metro area","0.186705067753792","0.0143461991101503"
"Tennessee","Lewis County","Rural area","0.186473220586777","0.0425516068935394"
"Florida","Franklin County","Rural area","0.18635293841362","0.0356559492647648"
"Arkansas","Sharp County","Rural area","0.186338797211647","0.0309927761554718"
"Oklahoma","Harmon County","Rural area","0.186324790120125","0.0442679226398468"
"Texas","Kleberg County","Small town","0.186322718858719","0.0265164338052273"
"Illinois","Edgar County","Rural area","0.18628990650177","0.0285339932888746"
"North Carolina","Pasquotank County","Small town","0.186223447322845","0.0197784546762705"
"Arkansas","Arkansas County","Rural area","0.186206892132759","0.026313403621316"
"Ohio","Cuyahoga County","Metro area","0.186099201440811","0.00340745598077774"
"Mississippi","Harrison County","Metro area","0.185911819338799","0.0118944868445396"
"Pennsylvania","Mifflin County","Small town","0.185611128807068","0.0175302065908909"
"Ohio","Fayette County","Small town","0.185582026839256","0.0208919532597065"
"Pennsylvania","Lawrence County","Small town","0.185361683368683","0.00906125642359257"
"Virginia","Sussex County","Metro area","0.185341417789459","0.0470638945698738"
"Georgia","Troup County","Small town","0.185304030776024","0.0146735934540629"
"Louisiana","Assumption Parish","Rural area","0.185108348727226","0.0341609343886375"
"Alabama","Crenshaw County","Rural area","0.185035020112991","0.0280065219849348"
"Ohio","Jefferson County","Metro area","0.184979841113091","0.0129502257332206"
"Kentucky","Barren County","Small town","0.184778720140457","0.0202411450445652"
"Oregon","Harney County","Rural area","0.18470087647438","0.0577625967562199"
"Virginia","Roanoke city","Metro area","0.184645399451256","0.0162616707384586"
"Mississippi","Yalobusha County","Rural area","0.184415087103844","0.0382260978221893"
"South Carolina","Laurens County","Metro area","0.184409976005554","0.0128561817109585"
"Alabama","Mobile County","Metro area","0.184323966503143","0.00709642237052321"
"South Carolina","Chester County","Metro area","0.184264168143272","0.0195475742220879"
"Tennessee","Wayne County","Rural area","0.184219270944595","0.0362854264676571"
"Alabama","Pickens County","Metro area","0.184037804603577","0.0207137633115053"
"Georgia","Gordon County","Small town","0.184033572673798","0.0187334083020687"
"Georgia","Crawford County","Metro area","0.183932796120644","0.0334565229713917"
"South Carolina","Edgefield County","Metro area","0.183839723467827","0.0213143937289715"
"Tennessee","Crockett County","Metro area","0.183804631233215","0.0255440082401037"
"Alabama","Chilton County","Metro area","0.183705404400826","0.021028408780694"
"Georgia","Glynn County","Metro area","0.183674097061157","0.01702637411654"
"Louisiana","Sabine Parish","Rural area","0.183659836649895","0.0203059446066618"
"Illinois","Jefferson County","Small town","0.183356374502182","0.0152894072234631"
"Texas","San Jacinto County","Rural area","0.183262377977371","0.0302712637931108"
"Missouri","Reynolds County","Rural area","0.183257922530174","0.0355913490056992"
"Tennessee","Greene County","Small town","0.183205276727676","0.0172283910214901"
"New Mexico","Colfax County","Rural area","0.183169230818748","0.0336348377168179"
"Virginia","Southampton County","Rural area","0.183142557740211","0.0236956719309092"
"Michigan","Oceana County","Rural area","0.183112621307373","0.0149716520681977"
"Vermont","Caledonia County","Rural area","0.183005452156067","0.0207384489476681"
"Colorado","Huerfano County","Rural area","0.18295019865036","0.0384605787694454"
"Oregon","Tillamook County","Rural area","0.182785108685493","0.024831423535943"
"North Carolina","Caldwell County","Metro area","0.182721227407455","0.0158985480666161"
"Missouri","Vernon County","Rural area","0.18259385228157","0.0272511206567287"
"Mississippi","Montgomery County","Rural area","0.182486787438393","0.0343048274517059"
"Mississippi","Calhoun County","Rural area","0.182474225759506","0.0225825812667608"
"Texas","Collingsworth County","Rural area","0.182315409183502","0.0606166124343872"
"Arkansas","Columbia County","Small town","0.182181134819984","0.02489441819489"
"Mississippi","Monroe County","Rural area","0.182091906666756","0.0215487740933895"
"Kentucky","Union County","Rural area","0.182030543684959","0.0313630029559135"
"New York","Clinton County","Small town","0.182002022862434","0.0156355239450932"
"South Carolina","McCormick County","Rural area","0.181909546256065","0.0346864238381386"
"Kentucky","Clark County","Metro area","0.181907922029495","0.021286990493536"
"New York","Franklin County","Small town","0.181874707341194","0.0177274495363235"
"Texas","Shelby County","Rural area","0.181688591837883","0.0336382426321507"
"Michigan","Iosco County","Rural area","0.181572765111923","0.0138937793672085"
"West Virginia","Barbour County","Rural area","0.181552931666374","0.0310108289122581"
"Alabama","Walker County","Metro area","0.181471779942513","0.0123103419318795"
"South Carolina","Georgetown County","Small town","0.181467652320862","0.0158149842172861"
"North Carolina","Wilkes County","Small town","0.181416094303131","0.0170148592442274"
"West Virginia","Monroe County","Rural area","0.181389078497887","0.0293369460850954"
"Texas","San Augustine County","Rural area","0.181359350681305","0.0394831001758575"
"Kentucky","Henderson County","Metro area","0.181347146630287","0.0170148052275181"
"Kentucky","Washington County","Rural area","0.18129175901413","0.0293716341257095"
"Michigan","Van Buren County","Metro area","0.181148022413254","0.0122987125068903"
"Washington","Spokane County","Metro area","0.181103631854057","0.00578790716826916"
"Tennessee","Madison County","Metro area","0.181075051426888","0.0147482668980956"
"Illinois","Perry County","Rural area","0.180986523628235","0.0267915837466717"
"West Virginia","Cabell County","Metro area","0.180883020162582","0.0126980468630791"
"North Carolina","Martin County","Rural area","0.180862367153168","0.0212111435830593"
"Kentucky","Ohio County","Rural area","0.180627092719078","0.0263316296041012"
"Washington","Asotin County","Metro area","0.180595889687538","0.0244796052575111"
"New York","Chenango County","Rural area","0.180571660399437","0.015907384455204"
"Maine","Waldo County","Rural area","0.180558860301971","0.0152123617008328"
"Washington","Mason County","Small town","0.180413290858269","0.0169988870620728"
"Michigan","Wexford County","Small town","0.180269747972488","0.0153019400313497"
"Montana","Silver Bow County","Small town","0.18022982776165","0.0261797718703747"
"Arkansas","Stone County","Rural area","0.180225536227226","0.0375513061881065"
"Alabama","Fayette County","Rural area","0.180145978927612","0.0228843633085489"
"Texas","Robertson County","Metro area","0.180018857121468","0.0313305258750916"
"Missouri","Laclede County","Small town","0.179985448718071","0.0243943650275469"
"Oregon","Curry County","Small town","0.179973065853119","0.025850573554635"
"Alabama","Pike County","Small town","0.179893761873245","0.0249712970107794"
"South Carolina","Hampton County","Rural area","0.179835394024849","0.0282682832330465"
"Colorado","Las Animas County","Rural area","0.17980295419693","0.0242214221507311"
"Wisconsin","Rock County","Metro area","0.179649993777275","0.00825171638280153"
"Georgia","Charlton County","Rural area","0.179620027542114","0.0423042699694633"
"Illinois","Stephenson County","Small town","0.179481938481331","0.0154798151925206"
"Georgia","Murray County","Metro area","0.179167255759239","0.0226502809673548"
"Tennessee","Giles County","Rural area","0.179125279188156","0.0245085246860981"
"Alabama","Marion County","Rural area","0.179080575704575","0.0221024993807077"
"Pennsylvania","Greene County","Rural area","0.179027780890465","0.0171608496457338"
"North Carolina","Avery County","Rural area","0.178656011819839","0.0360311567783356"
"Texas","Baylor County","Rural area","0.178508520126343","0.0575683303177357"
"Mississippi","Hancock County","Metro area","0.178468748927116","0.0205548461526632"
"Missouri","Morgan County","Rural area","0.178358495235443","0.0251580383628607"
"Virginia","Tazewell County","Small town","0.178346127271652","0.0212321747094393"
"Iowa","Montgomery County","Rural area","0.178207069635391","0.0290265083312988"
"New Mexico","Otero County","Small town","0.178145200014114","0.0181620176881552"
"Oklahoma","Pottawatomie County","Small town","0.17807848751545","0.00900919735431671"
"South Dakota","Jackson County","Rural area","0.178068414330482","0.041564118117094"
"Alabama","Lawrence County","Metro area","0.178064703941345","0.0232737902551889"
"Oklahoma","Coal County","Rural area","0.178063943982124","0.0288245007395744"
"Texas","La Salle County","Rural area","0.178010478615761","0.0621402822434902"
"North Carolina","Burke County","Metro area","0.177929177880287","0.014100581407547"
"South Carolina","Greenwood County","Small town","0.177907928824425","0.0165294669568539"
"Louisiana","Jefferson Davis Parish","Small town","0.17777393758297","0.0222704336047173"
"Kentucky","Christian County","Metro area","0.177763774991035","0.0157389063388109"
"Tennessee","Roane County","Metro area","0.177689015865326","0.0195971932262182"
"Tennessee","Cumberland County","Small town","0.17746938765049","0.0157728027552366"
"New York","Cattaraugus County","Small town","0.177385568618774","0.0107979895547032"
"Mississippi","Tippah County","Rural area","0.177380949258804","0.0283630006015301"
"Louisiana","Caddo Parish","Metro area","0.177267000079155","0.00929256621748209"
"Kentucky","Muhlenberg County","Small town","0.177150309085846","0.0246622823178768"
"Idaho","Canyon County","Metro area","0.177082866430283","0.0113772498443723"
"Kentucky","Boyd County","Metro area","0.177034974098206","0.0204363856464624"
"Washington","Columbia County","Metro area","0.177027821540833","0.0462786853313446"
"Texas","Camp County","Rural area","0.176936626434326","0.0332902669906616"
"Colorado","Otero County","Rural area","0.176936507225037","0.0309349074959755"
"Missouri","Crawford County","Rural area","0.176856830716133","0.0233562961220741"
"Louisiana","Vermilion Parish","Metro area","0.176792532205582","0.0184551700949669"
"Kentucky","Todd County","Rural area","0.17666520178318","0.0308609250932932"
"Louisiana","Allen Parish","Rural area","0.176627337932587","0.0239184964448214"
"North Carolina","Gaston County","Metro area","0.176561877131462","0.0094225537031889"
"Vermont","Windham County","Rural area","0.176476776599884","0.0165029112249613"
"Iowa","Des Moines County","Small town","0.176421150565147","0.020831560716033"
"Tennessee","Gibson County","Rural area","0.176234155893326","0.0182542037218809"
"New Mexico","Quay County","Rural area","0.176118463277817","0.0418566726148129"
"Kentucky","Breckinridge County","Rural area","0.176086068153381","0.0298902355134487"
"Texas","Potter County","Metro area","0.176067113876343","0.0108526777476072"
"Pennsylvania","Erie County","Metro area","0.175952091813087","0.00590219488367438"
"Louisiana","La Salle Parish","Rural area","0.175939843058586","0.0338796153664589"
"Virginia","Russell County","Rural area","0.175916612148285","0.0251855775713921"
"Wisconsin","Sawyer County","Rural area","0.175881415605545","0.0143035240471363"
"Tennessee","Smith County","Metro area","0.17577762901783","0.0270572006702423"
"Illinois","Kankakee County","Metro area","0.175765812397003","0.0103793852031231"
"Texas","Delta County","Rural area","0.175545409321785","0.0347388759255409"
"Alabama","Clarke County","Rural area","0.175528571009636","0.0217438153922558"
"New Mexico","Guadalupe County","Rural area","0.175513699650764","0.0533413141965866"
"North Carolina","Alleghany County","Rural area","0.175489783287048","0.0244865138083696"
"New York","Oneida County","Metro area","0.175348997116089","0.00769980065524578"
"Texas","Waller County","Metro area","0.175330206751823","0.0237742103636265"
"California","Madera County","Metro area","0.175265058875084","0.0167970694601536"
"Kentucky","Jessamine County","Metro area","0.175153523683548","0.0171605963259935"
"Indiana","Blackford County","Rural area","0.175148844718933","0.027892492711544"
"Mississippi","Tate County","Metro area","0.175118461251259","0.0264765713363886"
"Illinois","Winnebago County","Metro area","0.174979656934738","0.00648147007450461"
"Georgia","Montgomery County","Small town","0.17497618496418","0.0367910377681255"
"Washington","Wahkiakum County","Rural area","0.174958080053329","0.0435909256339073"
"Alabama","Chambers County","Small town","0.174861013889313","0.0191816166043282"
"Alabama","Geneva County","Metro area","0.174814671278","0.0219375044107437"
"New York","Oswego County","Metro area","0.174615412950516","0.0118226334452629"
"Kansas","Wyandotte County","Metro area","0.17425973713398","0.00806642882525921"
"Mississippi","Alcorn County","Small town","0.174133732914925","0.0198397934436798"
"West Virginia","Lewis County","Rural area","0.174132391810417","0.0242795702069998"
"Louisiana","Ouachita Parish","Metro area","0.173997849225998","0.00961831957101822"
"Michigan","Tuscola County","Rural area","0.173866435885429","0.0120760658755898"
"Tennessee","Sullivan County","Metro area","0.173819348216057","0.00883857067674398"
"New York","Herkimer County","Metro area","0.173743665218353","0.0144582353532314"
"Georgia","Hart County","Rural area","0.173722043633461","0.0297650340944529"
"Virginia","Smyth County","Rural area","0.173704564571381","0.0189748592674732"
"Virginia","Scott County","Metro area","0.173659935593605","0.0228437129408121"
"Georgia","Bulloch County","Small town","0.173597857356071","0.0177990701049566"
"Alabama","Dale County","Small town","0.173566028475761","0.0158220436424017"
"Florida","Liberty County","Rural area","0.173508256673813","0.0476985350251198"
"Arkansas","Dallas County","Rural area","0.173494726419449","0.0328331179916859"
"Alabama","Marshall County","Small town","0.173268333077431","0.012648087926209"
"Missouri","Polk County","Metro area","0.173128798604012","0.0249455794692039"
"Mississippi","Adams County","Small town","0.172967374324799","0.021589869633317"
"Missouri","Dent County","Rural area","0.172864660620689","0.0278209205716848"
"North Carolina","Gates County","Metro area","0.172855883836746","0.0347509756684303"
"Alabama","Washington County","Rural area","0.172746598720551","0.0295886714011431"
"Alabama","Winston County","Rural area","0.172742694616318","0.0242608692497015"
"Colorado","Saguache County","Rural area","0.172727271914482","0.0329723656177521"
"Michigan","Gratiot County","Small town","0.172678485512733","0.0144452759996057"
"New York","Orleans County","Metro area","0.172638237476349","0.0187445674091578"
"Texas","Caldwell County","Metro area","0.17261528968811","0.0237482879310846"
"Wisconsin","Forest County","Rural area","0.17258882522583","0.0181357469409704"
"Georgia","Floyd County","Metro area","0.172466829419136","0.0153415286913514"
"Kentucky","Bourbon County","Metro area","0.172448098659515","0.0276440232992172"
"Texas","Hale County","Small town","0.172386407852173","0.0210437513887882"
"South Carolina","Newberry County","Small town","0.172366246581078","0.0197664573788643"
"West Virginia","Greenbrier County","Rural area","0.172309949994087","0.0206182785332203"
"Texas","Garza County","Rural area","0.172307685017586","0.0516185835003853"
"Arkansas","Ouachita County","Small town","0.172306790947914","0.0245145801454782"
"Michigan","Luce County","Rural area","0.172279790043831","0.0353633277118206"
"Virginia","Norfolk city","Metro area","0.172032922506332","0.00646682782098651"
"Montana","Blaine County","Rural area","0.172019362449646","0.0274295993149281"
"Virginia","Craig County","Metro area","0.171996548771858","0.0644457042217255"
"Kentucky","Butler County","Metro area","0.171938672661781","0.0254642628133297"
"Texas","Tyler County","Rural area","0.171924293041229","0.0266856625676155"
"Vermont","Bennington County","Small town","0.171894282102585","0.0201998911798"
"North Carolina","Surry County","Small town","0.171827852725983","0.0163105688989162"
"Florida","Jackson County","Rural area","0.171822741627693","0.0231991913169622"
"Kentucky","Bracken County","Metro area","0.171746775507927","0.0312582589685917"
"Vermont","Orleans County","Rural area","0.171742960810661","0.0128771848976612"
"Oklahoma","Latimer County","Rural area","0.171739667654037","0.0228540804237127"
"Iowa","Appanoose County","Rural area","0.171639040112495","0.0279264114797115"
"North Carolina","Cumberland County","Metro area","0.171589076519012","0.00681880582123995"
"Mississippi","Jones County","Small town","0.171572178602219","0.0181802101433277"
"Arkansas","Conway County","Rural area","0.171411484479904","0.0228545423597097"
"Arkansas","Clay County","Rural area","0.171393156051636","0.0231895204633474"
"Utah","San Juan County","Rural area","0.171392410993576","0.0263164062052965"
"Missouri","Buchanan County","Metro area","0.171377137303352","0.0115785337984562"
"Arizona","Mohave County","Metro area","0.171367704868317","0.00777787389233708"
"Illinois","Mason County","Rural area","0.17126889526844","0.0222476944327354"
"Michigan","St. Clair County","Metro area","0.171209841966629","0.0087730884552002"
"North Carolina","Davidson County","Metro area","0.171156972646713","0.00936834886670113"
"Texas","Hamilton County","Rural area","0.17115443944931","0.0360451079905033"
"Arkansas","Marion County","Rural area","0.171141445636749","0.0235863719135523"
"West Virginia","Wood County","Metro area","0.17104209959507","0.0126329613849521"
"Oklahoma","Mayes County","Rural area","0.171020016074181","0.0133334817364812"
"Missouri","Barton County","Rural area","0.170875757932663","0.0286071226000786"
"Iowa","Emmet County","Rural area","0.170583963394165","0.0353374667465687"
"Texas","Cass County","Rural area","0.170433297753334","0.020885793492198"
"Indiana","Marion County","Metro area","0.170415237545967","0.00393181340768933"
"Arkansas","Cross County","Rural area","0.170371472835541","0.0281449686735868"
"Missouri","Schuyler County","Small town","0.170336037874222","0.0293247513473034"
"Nevada","Nye County","Small town","0.170293167233467","0.0227647125720978"
"California","Kings County","Metro area","0.17027123272419","0.0115850660949945"
"Texas","Gonzales County","Rural area","0.170170933008194","0.0268628727644682"
"Virginia","Richmond city","Metro area","0.170125231146812","0.00692627439275384"
"Missouri","Lawrence County","Rural area","0.170097440481186","0.0161180142313242"
"Kentucky","Boyle County","Small town","0.170097410678864","0.0197602696716785"
"Georgia","Lamar County","Metro area","0.170033395290375","0.0315583646297455"
"North Carolina","Lee County","Small town","0.170031383633614","0.0160307753831148"
"New York","St. Lawrence County","Small town","0.170018807053566","0.0107004307210445"
"Arkansas","Hot Spring County","Small town","0.169965639710426","0.0219939630478621"
"Texas","Houston County","Rural area","0.169930666685104","0.0246907584369183"
"California","Kern County","Metro area","0.169861659407616","0.00544981984421611"
"Vermont","Essex County","Small town","0.169825345277786","0.026624808087945"
"Virginia","Portsmouth city","Metro area","0.169815421104431","0.0137308919802308"
"Alabama","Henry County","Metro area","0.169814079999924","0.0265331864356995"
"Michigan","Gogebic County","Rural area","0.169680535793304","0.0182518437504768"
"Illinois","Greene County","Rural area","0.169571802020073","0.0206119436770678"
"Illinois","Fayette County","Rural area","0.169542476534843","0.0234861634671688"
"West Virginia","Doddridge County","Small town","0.169523805379868","0.0406193695962429"
"Virginia","Buckingham County","Metro area","0.16944982111454","0.0251709371805191"
"Tennessee","Houston County","Rural area","0.169349640607834","0.0336592830717564"
"Kentucky","Caldwell County","Rural area","0.169109359383583","0.0379700101912022"
"Nevada","Mineral County","Rural area","0.169007256627083","0.0440281257033348"
"Texas","Cochran County","Rural area","0.168818265199661","0.0448526777327061"
"Michigan","Ionia County","Small town","0.168797373771667","0.0144849326461554"
"Virginia","Appomattox County","Metro area","0.16878767311573","0.0306689627468586"
"Michigan","Montmorency County","Rural area","0.168607473373413","0.0228327363729477"
"Mississippi","Franklin County","Rural area","0.168604657053947","0.0440198965370655"
"North Carolina","Ashe County","Rural area","0.168584629893303","0.0227734968066216"
"Kentucky","Robertson County","Rural area","0.168574407696724","0.04576351121068"
"Louisiana","Tensas Parish","Rural area","0.168469861149788","0.0324122942984104"
"Texas","Liberty County","Metro area","0.168365150690079","0.0191934704780579"
"West Virginia","Gilmer County","Rural area","0.168327793478966","0.0414567701518536"
"Oklahoma","Jefferson County","Rural area","0.168316826224327","0.0246169771999121"
"Virginia","Covington city","Rural area","0.16828478872776","0.055718544870615"
"Alabama","DeKalb County","Small town","0.168272137641907","0.0153944352641702"
"Indiana","Wayne County","Small town","0.168166816234589","0.0137643618509173"
"Ohio","Coshocton County","Small town","0.168021112680435","0.0154908876866102"
"Texas","Polk County","Rural area","0.167903319001198","0.0203234441578388"
"Ohio","Columbiana County","Small town","0.167895272374153","0.0117825316265225"
"West Virginia","Ritchie County","Rural area","0.167885050177574","0.0283999182283878"
"Montana","Roosevelt County","Rural area","0.167717531323433","0.0220992565155029"
"West Virginia","Tyler County","Rural area","0.167708918452263","0.0252967700362206"
"Ohio","Richland County","Metro area","0.167685404419899","0.0103451870381832"
"Pennsylvania","Clearfield County","Small town","0.167683601379395","0.00995827186852694"
"Tennessee","Coffee County","Small town","0.167522877454758","0.0166651792824268"
"Michigan","Jackson County","Metro area","0.167294383049011","0.00930615328252316"
"New York","Lewis County","Rural area","0.167167946696281","0.0170608013868332"
"Oregon","Baker County","Rural area","0.167165875434875","0.0239336751401424"
"Michigan","Montcalm County","Metro area","0.167150974273682","0.011677491478622"
"Indiana","Grant County","Small town","0.167041599750519","0.0139341941103339"
"Texas","Newton County","Metro area","0.166990712285042","0.0345953591167927"
"Georgia","Habersham County","Small town","0.166935920715332","0.0224957372993231"
"Pennsylvania","Luzerne County","Metro area","0.166930690407753","0.00603852700442076"
